"table","column","property","type","nullable","status","table_purpose","assessment","schema","introduced_in","read_evidence","write_evidence","review_evidence","database_dependencies"
"accounts","id","id","text","false","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:110","0000_auth","apps/api/src/modules/auth/routes.ts:381; apps/api/src/modules/auth/routes.ts:450; apps/api/src/modules/auth/routes.ts:518; apps/api/src/modules/users/routes.ts:91","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs","foreign_key:accounts_user_id_users_id_fk; primary_key:accounts_pkey"
"accounts","user_id","userId","text","false","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:111","0000_auth","apps/api/src/modules/auth/routes.ts:383; apps/api/src/modules/auth/routes.ts:452; apps/api/src/modules/auth/routes.ts:520; apps/api/src/modules/users/routes.ts:93; apps/api/src/modules/users/routes.ts:139","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs","index:accounts_user_id_idx; foreign_key:accounts_user_id_users_id_fk"
"accounts","account_id","accountId","text","false","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:114","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs","index:accounts_provider_account_unique"
"accounts","provider_id","providerId","text","false","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:115","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs","index:accounts_provider_account_unique"
"accounts","password","password","text","true","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:121","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"accounts","access_token","accessToken","text","true","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:141","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"accounts","refresh_token","refreshToken","text","true","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:142","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"accounts","access_token_expires_at","accessTokenExpiresAt","timestamp with time zone","true","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:143","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"accounts","refresh_token_expires_at","refreshTokenExpiresAt","timestamp with time zone","true","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:144","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"accounts","scope","scope","text","true","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:145","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
