"schema","table","column","type","nullable","status","owner","evidence"
"drizzle","__drizzle_migrations","id","int4","NO","LIBRARY_MANAGED","Drizzle migration bookkeeping","packages/db/src/migration-journal.ts:284; packages/db/src/index.ts:403"
"drizzle","__drizzle_migrations","hash","text","NO","LIBRARY_MANAGED","Drizzle migration bookkeeping","packages/db/src/migration-journal.ts:284; packages/db/src/index.ts:403"
"drizzle","__drizzle_migrations","created_at","int8","YES","LIBRARY_MANAGED","Drizzle migration bookkeeping","packages/db/src/migration-journal.ts:284; packages/db/src/index.ts:403"
"pgboss","bam","id","uuid","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","name","text","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","version","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","status","text","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","queue","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","table_name","text","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","command","text","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","error","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","created_on","timestamptz","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","started_on","timestamptz","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","bam","completed_on","timestamptz","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","id","uuid","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","name","text","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","priority","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","data","jsonb","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","state","job_state","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","retry_limit","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","retry_count","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","retry_delay","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","retry_backoff","bool","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","retry_delay_max","int4","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","expire_seconds","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","deletion_seconds","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","singleton_key","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","singleton_on","timestamp","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","group_id","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","group_tier","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","start_after","timestamptz","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","created_on","timestamptz","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","started_on","timestamptz","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","completed_on","timestamptz","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","keep_until","timestamptz","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","output","jsonb","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","dead_letter","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","policy","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","heartbeat_on","timestamptz","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","heartbeat_seconds","int4","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","blocked","bool","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","blocking","bool","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","pending_dependencies","int4","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","source_name","text","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","source_id","uuid","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","source_created_on","timestamptz","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job","source_retry_count","int4","YES","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job_common","id","uuid","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
"pgboss","job_common","name","text","NO","LIBRARY_MANAGED","pg-boss 12.31.0; schema 41","apps/api/node_modules/pg-boss/dist/plans.js; apps/api/src/pipeline/pg-boss.ts:451"
