"table","columns","disposition","purpose","schema","runtime_evidence","column_exceptions"
"accounts","13","RETAIN","Credential and OIDC account identities, passwords and provider tokens.","packages/db/src/schema/auth.ts:107","apps/api/src/modules/auth/routes.ts:381; apps/api/src/modules/auth/routes.ts:450; apps/api/src/modules/auth/routes.ts:518; apps/api/src/modules/users/routes.ts:91",""
"activity_log","8","RETAIN","Append-only activity feeds and administrator audit history.","packages/db/src/schema/activity.ts:39","apps/api/src/pipeline/contract-analysis.ts:318; apps/api/src/modules/audit-log/routes.ts:190; apps/api/src/modules/audit-log/routes.ts:269; apps/api/src/modules/audit-log/routes.ts:270",""
"ai_connector","12","RETAIN","Runtime AI credentials, provider selection and preparation switches.","packages/db/src/schema/ai-connector.ts:30","packages/db/src/rewrap.ts:82; apps/api/src/modules/ai-connector/routes.ts:204; apps/api/src/modules/ai-connector/routes.ts:275; apps/api/src/modules/ai-connector/routes.ts:402","created_at=PASSIVE_METADATA"
"ai_field_prompts","3","RETAIN","Administrator overrides of the shipped extraction prompts.","packages/db/src/schema/contract-analysis.ts:24","apps/api/src/modules/ai-field-prompts/routes.ts:60; apps/api/src/modules/ai-field-prompts/routes.ts:89; apps/api/src/modules/ai-field-prompts/routes.ts:95; apps/api/src/modules/ai-field-prompts/routes.ts:111","updated_at=PASSIVE_METADATA"
"approver_group_members","3","RETAIN","Reusable approval-group membership snapshots at application time.","packages/db/src/schema/approver-groups.ts:69","apps/api/src/modules/contract-approvals/routes.ts:621; apps/api/src/modules/approver-groups/routes.ts:131; apps/api/src/modules/approver-groups/routes.ts:138; apps/api/src/modules/approver-groups/routes.ts:382","created_at=PASSIVE_METADATA"
"approver_groups","6","RETAIN","Named reusable approval groups and their archive state.","packages/db/src/schema/approver-groups.ts:24","apps/api/src/modules/contract-approvals/routes.ts:253; apps/api/src/modules/contract-approvals/routes.ts:598; apps/api/src/modules/contract-approvals/routes.ts:603; apps/api/src/modules/approver-groups/routes.ts:158","updated_at=PASSIVE_METADATA"
"comment_attachments","8","RETAIN","Immutable comment paper, downloads, filing markers and conversion evidence.","packages/db/src/schema/comment-attachments.ts:20","apps/api/src/lib/conversion-draft.ts:191; apps/api/src/lib/conversion-source-privacy.ts:34; apps/api/src/pipeline/conversion-analysis.ts:122; apps/api/src/modules/comments/routes.ts:463","uploaded_by=REDUNDANT_CANDIDATE"
"comment_last_read","4","RETAIN","Per-user unread watermarks for visible record threads.","packages/db/src/schema/comments.ts:219","apps/api/src/modules/comments/routes.ts:688; apps/api/src/modules/comments/routes.ts:774; apps/api/src/modules/requests/move-thread.ts:118; apps/api/src/modules/requests/move-thread.ts:139",""
"comment_mentions","2","RETAIN","Mention recipients for validation and notification fan-out.","packages/db/src/schema/comments.ts:139","apps/api/src/modules/comments/routes.ts:429; apps/api/src/modules/comments/routes.ts:435; apps/api/src/modules/comments/routes.ts:1807; apps/api/src/lib/notifications/notifier.ts:1486",""
"comment_revisions","4","RETAIN_HISTORY","Prior comment bodies retained through edits/soft deletes and purged on redaction.","packages/db/src/schema/comments.ts:174","apps/api/src/modules/comments/routes.ts:1806","id=RETAIN_HISTORY; comment_id=RETAIN_HISTORY; body=RETAIN_HISTORY; replaced_at=RETAIN_HISTORY"
